id,product_name,price,reviews_count,avg_rate,brand
1,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Rose Scent,EGP 150.00,4 verified ratings,4.3/5,Karimed
2,AM-Shop Bundle Of (10) Basic Socks Sign - High Quality,EGP 59.00,881 verified ratings,3.6/5,AM-Shop
3,Bundle Of (15) Women Ankle Socks For Women,EGP 54.00 - EGP 69.00,4426 verified ratings,3.8/5,(4426 verified ratings)
4,Nokia 106 - 1.8-inch Dual SIM Mobile Phone - Dark Grey,EGP 411.00,7 verified ratings,4.4/5,Nokia
5,Vaseline Intensive Care™ Cocoa Radiant Body Lotion – 200 ml,EGP 60.00,4 verified ratings,4/5,Vaseline
6,Nescafe Classic Instant Coffee - 1.8g - 25 Pcs,EGP 31.00,49 verified ratings,4.7/5,Nescafe
7,Dettol Skin Care Soap - 85g,EGP 7.95,226 verified ratings,4.5/5,Dettol
8,Bonjorno 2in1 Coffee Mix Khamsina – 12 Sachet,EGP 15.00,32 verified ratings,4.1/5,Bonjorno
9,Dice Bundle Of Six Comfy Slip On Regular Boxers,EGP 249.99,7741 verified ratings,4.3/5,Dice
10,Dice Bundle OF Six Men Boxers,EGP 249.99,4367 verified ratings,4.3/5,Dice
11,Set Of ( 6 ) Pairs Invisible Socks,EGP 38.00 - EGP 48.00,1831 verified ratings,3.9/5,(1831 verified ratings)
12,Karimed Brilliant Touch Shower Gel 1000ML 4Pcs. 4 Scents,EGP 200.00,39 verified ratings,4.5/5,Karimed
13,ABC Egypt Alfa Automatic Powder Detergent - 8+1 Free Kg,EGP 180.00,167 verified ratings,3.9/5,ABC Egypt
14,NIVEA MEN Invisible Black & White Original Antiperspirant Deodorant Spray - For Men - 150ml,EGP 42.90,864 verified ratings,4.4/5,NIVEA MEN
15,NIVEA MEN Fresh Active Deodorant Spray - For Men - 150ml,EGP 42.50,950 verified ratings,4.4/5,NIVEA MEN
16,Maybelline New York Volum' Express The Colossal Mascara - 100% Black,EGP 110.00,1865 verified ratings,4.2/5,Maybelline New York
17,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Peach Scent,EGP 150.00,5 verified ratings,4.2/5,Karimed
18,Grouhy GH252B Exhaust Ventilation Fan - 25 Cm - Brown,EGP 299.00,13 verified ratings,3.6/5,Grouhy
19,AM-Shop Bundle OF (4) Socks,EGP 29.00,1354 verified ratings,3.4/5,AM-Shop
20,Almarai Skimmed Plastic Bottle Milk-1.5 L,EGP 28.80,22 verified ratings,5/5,Almarai
21,NIVEA MEN DEEP Black Carbon Antibacterial Antiperspirant Deodorant Spray - For Men - 150ml,EGP 42.50,1012 verified ratings,4.5/5,NIVEA MEN
22,Aldoha Flour – 1Kg,EGP 20.00,384 verified ratings,4.6/5,Aldoha
23,Skyline HD-222 IV Mini HD Satellite Receiver,EGP 210.00,716 verified ratings,4.3/5,Skyline
24,Bundle Of (12) Invisible Socks - For Men,EGP 61.00,152 verified ratings,3.9/5,(152 verified ratings)
25,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Rose Scent Plus Free Hand Wash 500ML,EGP 98.10,18 verified ratings,4.8/5,Karimed
26,"Ariel Anti-Bacterial Automatic Powder Detergent, 7 KG",EGP 281.75,29 verified ratings,4.8/5,Ariel
27,American Eagle Slim Flex Polo Shirt,EGP 225.00,273 verified ratings,4.6/5,American Eagle
28,Grouhy GKT2218SS Stainless Steel Kettle – 1.8 L,EGP 250.00,7 verified ratings,4.6/5,Grouhy
29,Luna Super Emollient Moisturizing Cream Kit - 4 Pcs,EGP 102.00,6044 verified ratings,4.3/5,Luna
30,Durex Condoms Set - Strawberry - 3 Pcs,EGP 22.61,1068 verified ratings,4.2/5,Durex
31,Chefy Mix Tomato Ketchup - 1kg,EGP 26.50,814 verified ratings,4.3/5,Chefy Mix
32,Maxtella Chocolate Hazelnut Spread - 950 Gm,EGP 70.00,631 verified ratings,4.3/5,Maxtella
33,Rexona Antibacterial Invisible Antiperspirant Deodorant for Men - 150Ml - 2 Pcs+ 1 Free,EGP 93.00,132 verified ratings,4.5/5,Rexona
34,"NIVEA MEN Fresh Power, Antiperspirant for Men, Fresh Scent, Roll-on - 50ml",EGP 24.30,169 verified ratings,4.4/5,NIVEA
35,NIVEA Fresh Cherry Deodorant For Women Spray - 150 ml,EGP 42.90,439 verified ratings,4.4/5,NIVEA
36,NIVEA MEN DEEP Espresso Black Carbon Antibacterial Antiperspirant Deodorant Spray - For Men - 150ml,EGP 42.50,1072 verified ratings,4.4/5,NIVEA MEN
37,VGR Professional Rechargeable Hair Trimmer Led Display,EGP 255.00,518 verified ratings,4.3/5,VGR
38,Sensodyne Multi Care + Whitening Toothpaste For Sensitive Teeth - 100ml - Buy 2 Get 1 Free,EGP 115.00,36 verified ratings,4.8/5,Sensodyne
39,Dice Bundle Of Five Men Boxers,EGP 199.00 - EGP 209.99,951 verified ratings,4.4/5,Dice
40,Fern Pure Natural Butter Ghee - 1.4Kg,EGP 294.00,44 verified ratings,4.7/5,Fern
41,Embrator Bundle Of Three Soft Breathable Sleeveless Undershirts - White,EGP 129.99,955 verified ratings,4.4/5,Embrator
42,Bundle OF ( 12 ) Cat Women Socks,EGP 59.00,646 verified ratings,3.9/5,(646 verified ratings)
43,L'Oreal Paris Hyaluron Expert Replumping Gel Wash For All Skin Types,EGP 84.50,2 verified ratings,5/5,L'Oreal Paris
44,Sensodyne Fluoride Toothpaste - 50ml,EGP 28.00,21 verified ratings,4.8/5,Sensodyne
45,Lipton Yellow Label Black Tea - 25 Tea Bags,EGP 13.00,348 verified ratings,4.5/5,Lipton
46,Healthy Spread Orginal 375g,EGP 90.00,26 verified ratings,4.8/5,Healthy Spread
47,Camay Soap Delicieux - 120gm,EGP 7.45,61 verified ratings,4.6/5,Camay
48,Alsuhagy White Flour – 1 Kg,EGP 16.00,375 verified ratings,4.6/5,Alsuhagy
49,Avuva Body Splash Cherry + Shower Gel - 253ml,EGP 95.00,,,Avuva
50,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Blueberry Scent Plus Free Hand Wash 500ML,EGP 98.91,7 verified ratings,4.7/5,Karimed
51,Bundle Of (6) Basic Socks - High Quality.,EGP 36.00,50 verified ratings,3.7/5,(50 verified ratings)
52,Dice Bundle OF Three Mens Boxer Brief,EGP 129.99,369 verified ratings,4.2/5,Dice
53,Mothercare Pink Canvas Trainers,EGP 89.00,9 verified ratings,4.7/5,Mothercare
54,Activ Matching Sole & Side Strips Lace Up Sneakers - White & Navy,EGP 329.00,34 verified ratings,4.8/5,Activ
55,Almarai Plain Skimmed Milk-1 L-6 Pcs,EGP 115.00,7 verified ratings,3.9/5,Almarai
56,Karimed Keraview Keratin Shampoo + Conditioner Aloe Vera For Dry Hair 350ml,EGP 32.00,33 verified ratings,3.9/5,Karimed
57,"Vanish Vanish Laundry Stain Remover Liquid for White Colored Clothes, Can be used with or without Detergents & Additives, 450ml - Pack of 2 @15%",EGP 59.00,9 verified ratings,5/5,Vanish
58,Lipton Extra Strong Black Tea - 100 Tea Bags,EGP 50.00,231 verified ratings,4.5/5,Lipton
59,Karimed SNOW SHINE Micellar Water Makeup Remover Rose 100ML,EGP 39.00,245 verified ratings,4.3/5,Karimed
60,"Iku S1 Mini, 1.8 Inches Display - 600 MAh Battery-Grey",EGP 250.00,2 verified ratings,4.5/5,Iku
61,FEATHER Flamingo Razor - S (Face & Body) Safety Razor Tech,EGP 139.00,424 verified ratings,4.4/5,FEATHER
62,Karimed Brilliant Touch Shower Gel 1L 3Pcs. Blueberry Scent,EGP 150.00,11 verified ratings,4.1/5,Karimed
63,Star Pasta Penne - 400g,EGP 7.00,49 verified ratings,4.3/5,Star
64,Mesery Bundle OF Six Smooth Cotton Hipster Panties,EGP 129.99,2163 verified ratings,4.4/5,Mesery
65,NIVEA MEN Silver Protect Deodorant Spray for Men - 150ml,EGP 42.50,389 verified ratings,4.4/5,NIVEA MEN
66,American Eagle Low Cut Socks 5-Pack,EGP 175.00,152 verified ratings,4.6/5,American Eagle
67,Brand Stores Shoulder &Backpack Bag -Brand Stores-White & Black,EGP 59.00,139 verified ratings,4.1/5,Brand Stores
68,Mesery Bundle Of Three Cotton Stretch Plain Spaghetti Tops,EGP 129.99,930 verified ratings,4/5,Mesery
